epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
47,51451.9,0.9762,1.00591,1.37506,0.03145,0.66866,0.62189,0.66874,0.47369,1.04,1.15118,1.48702,0.0375,0.0008103,0.0008103,0.0008103
48,52544.1,0.97518,1.01259,1.36655,0.03217,0.71794,0.60307,0.67376,0.47776,1.04926,1.14009,1.48683,0.03807,0.000788213,0.000788213,0.000788213
49,53643,0.96937,0.999,1.37519,0.033,0.71234,0.61129,0.69306,0.49389,1.02135,1.11103,1.4655,0.03648,0.00076606,0.00076606,0.00076606
50,54736.2,0.95425,0.97312,1.3557,0.0316,0.71775,0.61736,0.68914,0.49099,1.02593,1.1219,1.46168,0.0373,0.000743864,0.000743864,0.000743864
51,55829.2,0.95055,0.97155,1.35438,0.03252,0.72435,0.62369,0.69575,0.50191,1.00994,1.08991,1.45125,0.03756,0.000721645,0.000721645,0.000721645
52,56922,0.94867,0.96142,1.34878,0.03127,0.71114,0.62746,0.70063,0.50004,1.0175,1.10434,1.45897,0.03575,0.000699426,0.000699426,0.000699426
53,58018.3,0.94208,0.95439,1.34687,0.03132,0.71851,0.64551,0.70693,0.50514,1.01422,1.07779,1.46268,0.03635,0.00067723,0.00067723,0.00067723
54,59075.5,0.93718,0.94113,1.33356,0.03141,0.73894,0.62067,0.6995,0.5025,1.00463,1.08516,1.45177,0.03603,0.000655077,0.000655077,0.000655077
55,60015.1,0.9277,0.91466,1.31929,0.03101,0.74397,0.62782,0.71044,0.51029,1.01021,1.06103,1.45898,0.03655,0.00063299,0.00063299,0.00063299
56,61020.8,0.91767,0.90315,1.31559,0.02935,0.71882,0.64521,0.70716,0.50995,0.99616,1.06284,1.4433,0.03648,0.00061099,0.00061099,0.00061099
57,62120.1,0.90717,0.88507,1.31859,0.02977,0.72904,0.65667,0.71866,0.51777,0.9955,1.04783,1.43915,0.03479,0.0005891,0.0005891,0.0005891
