epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
56,16978.2,1.09447,1.17566,1.38496,0.03539,0.62109,0.55363,0.59194,0.39486,1.16172,1.37323,1.48526,0.04248,0.000650909,0.000650909,0.000650909
57,17311.6,1.08561,1.17147,1.3962,0.03672,0.61519,0.5644,0.59441,0.39667,1.16048,1.33828,1.48259,0.0423,0.000636762,0.000636762,0.000636762
58,17649.5,1.08806,1.16646,1.38342,0.03659,0.63506,0.54635,0.60118,0.40434,1.15496,1.33909,1.47712,0.04175,0.000622615,0.000622615,0.000622615
59,17988.2,1.08224,1.16671,1.3855,0.03586,0.64417,0.5624,0.61188,0.40927,1.15763,1.29427,1.47249,0.04417,0.000608468,0.000608468,0.000608468
60,18325.9,1.08261,1.15456,1.37521,0.03739,0.59977,0.5644,0.59352,0.39805,1.16386,1.33552,1.4851,0.04308,0.000594321,0.000594321,0.000594321
61,18661.1,1.07279,1.14596,1.36506,0.03513,0.62733,0.55385,0.60276,0.40212,1.15794,1.32866,1.48511,0.04173,0.000580174,0.000580174,0.000580174
62,18997.8,1.08216,1.14277,1.3856,0.03786,0.63358,0.57014,0.61585,0.42152,1.14394,1.28378,1.46888,0.04299,0.000566027,0.000566027,0.000566027
63,19334.7,1.05843,1.11607,1.36196,0.0349,0.64381,0.55911,0.60861,0.40922,1.1467,1.30304,1.4664,0.04142,0.00055188,0.00055188,0.00055188
64,19671,1.05877,1.12814,1.36134,0.03635,0.6466,0.55197,0.60532,0.40684,1.14847,1.3248,1.4648,0.04312,0.000537733,0.000537733,0.000537733
65,20007.7,1.05727,1.11348,1.36443,0.03448,0.60533,0.58034,0.60861,0.4145,1.14174,1.28581,1.46158,0.04342,0.000523586,0.000523586,0.000523586
66,20346.2,1.06066,1.11185,1.37302,0.03598,0.65369,0.54445,0.61264,0.41626,1.12854,1.29986,1.45385,0.04178,0.000509438,0.000509438,0.000509438
67,20684.9,1.05875,1.10665,1.36565,0.03541,0.6439,0.5704,0.62189,0.4215,1.12622,1.28666,1.4532,0.03954,0.000495291,0.000495291,0.000495291
68,21024,1.04317,1.0973,1.35807,0.03521,0.65618,0.55392,0.60989,0.41758,1.14358,1.3049,1.46898,0.04071,0.000481144,0.000481144,0.000481144
69,21360.8,1.04498,1.09665,1.35515,0.03428,0.6946,0.55976,0.63192,0.42562,1.1403,1.25713,1.464,0.03983,0.000466997,0.000466997,0.000466997
70,21703.3,1.0371,1.08949,1.35612,0.03396,0.64554,0.55921,0.60915,0.41442,1.12866,1.3036,1.4556,0.04094,0.00045285,0.00045285,0.00045285
71,22038.6,1.04292,1.07803,1.35897,0.03561,0.67696,0.57585,0.64229,0.44005,1.11173,1.22594,1.4499,0.04032,0.000438703,0.000438703,0.000438703
